object_id,url,affiliations
76537342x,https://cdr.lib.unc.edu/concern/articles/76537342x,University of North Carolina at Chapel Hill. Library || University of North Carolina at Chapel Hill. Library
1544br378,https://cdr.lib.unc.edu/concern/articles/1544br378,University of North Carolina at Chapel Hill. Library
th83m3811,https://cdr.lib.unc.edu/concern/articles/th83m3811,Department of Economics and Curriculum for the Environment and Ecology; University of North Carolina at Chapel Hill
4655n73p,https://cdr.lib.unc.edu/concern/articles/s4655n73p,Marsico Lung Institute
q237j1933,https://cdr.lib.unc.edu/concern/dissertations/q237j1933,Health Informatics
0z709523j,https://cdr.lib.unc.edu/concern/dissertations/0z709523j,Carolina-Duke Joint Program in German Studies
8p58pp87q,https://cdr.lib.unc.edu/concern/dissertations/8p58pp87q,Health Informatics
r494vv549,https://cdr.lib.unc.edu/concern/dissertations/r494vv549,Cell Biology and Physiology
